,,"001,017,101",,"<-- 복사해서 H열에 값으로 붙여넣기
"
구분,코드,카테고리명,Check,
2뎁스,103022,컨버스 척 70,FALSE,
2뎁스,103024,휠라 글리오,FALSE,
2뎁스,103025,뉴발란스 204,FALSE,
2뎁스,103026,살로몬 XT-위스퍼,FALSE,
2뎁스,103027,아식스 NYC 2.0,FALSE,
2뎁스,103028,아디다스 슈퍼스타,FALSE,
2뎁스,103029,나이키 조던,FALSE,
2뎁스,103030,나이키 에어맥스,FALSE,
2뎁스,104001,스킨케어,FALSE,
2뎁스,104002,선케어,FALSE,
2뎁스,104003,클렌징/필링,FALSE,
2뎁스,104005,프레그런스,FALSE,
2뎁스,104006,헤어케어,FALSE,
2뎁스,104007,바디케어,FALSE,
2뎁스,104009,쉐이빙/제모,FALSE,
2뎁스,104010,뷰티 디바이스/소품,FALSE,
2뎁스,104011,미용소품,FALSE,
2뎁스,104012,헬스/푸드,FALSE,
2뎁스,104013,마스크팩,FALSE,
2뎁스,104014,베이스메이크업,FALSE,
2뎁스,104015,립메이크업,FALSE,
2뎁스,104016,아이메이크업,FALSE,
2뎁스,104017,네일,FALSE,
2뎁스,105001,의류,FALSE,
2뎁스,105002,슈즈,FALSE,
2뎁스,105003,지갑/가방,FALSE,
2뎁스,105004,악세서리,FALSE,
2뎁스,105005,라이프 스타일,FALSE,
2뎁스,105007,뷰티,FALSE,
2뎁스,106001,베이비패션,FALSE,
2뎁스,106002,키즈패션,FALSE,
2뎁스,106003,주니어패션,FALSE,
2뎁스,106004,상의,FALSE,
2뎁스,106005,아우터,FALSE,
2뎁스,106006,바지,FALSE,
2뎁스,106007,원피스/스커트,FALSE,
2뎁스,106008,세트 의류,FALSE,
2뎁스,106009,12개월 이하,FALSE,
2뎁스,106010,시즌/테마,FALSE,
2뎁스,106011,속옷/홈웨어,FALSE,
2뎁스,106012,신발,FALSE,
2뎁스,106013,가방/지갑,FALSE,
2뎁스,106014,모자,FALSE,
2뎁스,106015,액세서리/소품,FALSE,
2뎁스,106016,장난감,FALSE,
2뎁스,106017,교육,FALSE,
2뎁스,106018,홈인테리어/리빙,FALSE,
2뎁스,107001,의류,FALSE,
2뎁스,107002,신발,FALSE,
2뎁스,107003,패션소품,FALSE,
2뎁스,107005,가구/인테리어,FALSE,
2뎁스,107009,키즈,FALSE,
2뎁스,107011,스포츠/레저,FALSE,
2뎁스,108001,의류,FALSE,
2뎁스,108002,신발,FALSE,
2뎁스,108003,패션소품,FALSE,
2뎁스,108004,디지털/가전,FALSE,
2뎁스,108005,가구/인테리어,FALSE,
2뎁스,108006,생활/주방,FALSE,
2뎁스,108007,컬처/취미/소품,FALSE,
2뎁스,108008,반려동물,FALSE,
2뎁스,108009,뷰티,FALSE,
2뎁스,108010,스포츠/레저,FALSE,
2뎁스,108011,더 나은 소재,FALSE,
2뎁스,108013,비건,FALSE,
2뎁스,108014,동물권 존중,FALSE,
2뎁스,108015,사회적 가치,FALSE,
2뎁스,109001,상의,FALSE,
