send_dt,send_time,target,priority,ad_code,content_type,goods_id,category_id,brand_id,team_id,braze_campaign_name,title,contents,landing_url,image_url,push_url,feed_url,webhook_contents,stopped
2025-12-19,11:00,여성,1,APSCMCD411,콘텐츠,,,espoir,,251219_11시_APSCMCD411_정기_GMV_에스쁘아 2025년 뷰티 어워즈 1위_여성_콘텐츠,에스쁘아 2025년 뷰티 어워즈 1위,"(광고) 윈터가 증명하는 비글로우 1위 파데의 광채
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1447844220236072605,https://image.msscdn.net/cms/v2/content/file_1765263508787_4136028799_ar7ky5.jpg,https://www.musinsa.com/content/1447844220236072605?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD411&source=APSCMCD411,https://www.musinsa.com/content/1447844220236072605?source=FEDCMCD411,(광고) 윈터가 증명하는 비글로우 1위 파데의 광채\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-19,11:00,여성,2,APSCMCD412,콘텐츠,,,standoil,,251219_11시_APSCMCD412_정기_GMV_스탠드오일 × 정선혜_여성_콘텐츠,스탠드오일 × 정선혜,"(광고) 모두가 주목하는 인플루언서 정선혜의 윈터백
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1448502754280573412,https://image.msscdn.net/cms/v2/content/file_1765420518076_621424599_hlmaqn.jpg,https://www.musinsa.com/content/1448502754280573412?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD412&source=APSCMCD412,https://www.musinsa.com/content/1448502754280573412?source=FEDCMCD412,(광고) 모두가 주목하는 인플루언서 정선혜의 윈터백\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-20,11:00,전체,1,APSCMCD413,콘텐츠,,,weverse,,251220_11시_APSCMCD413_정기_GMV_지코 신보 무신사 드롭_전체_콘텐츠,지코 신보 무신사 드롭,"(광고) 지코와 리라스가 선보이는 완벽한 하모니
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1448849318505188539,https://image.msscdn.net/cms/v2/content/file_1765783327737_11939200_9t63q8.jpg,https://www.musinsa.com/content/1448849318505188539?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD413&source=APSCMCD413,https://www.musinsa.com/content/1448849318505188539?source=FEDCMCD413,(광고) 지코와 리라스가 선보이는 완벽한 하모니\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-20,11:00,전체,2,APSCMCD414,콘텐츠,,,aakam,,251220_11시_APSCMCD414_정기_GMV_아캄 × 다영_전체_콘텐츠,아캄 × 다영,"(광고) AAKAM × DAYOUNG
무신사 에디션 발매
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1447831613559146733,https://image.msscdn.net/cms/v2/content/file_1765348526197_16819400_0z0rpq.jpg,https://www.musinsa.com/content/1447831613559146733?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD414&source=APSCMCD414,https://www.musinsa.com/content/1447831613559146733?source=FEDCMCD414,(광고) AAKAM × DAYOUNG\n무신사 에디션 발매\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-21,11:00,전체,1,APSCMCD415,콘텐츠,,,pinggyego,,251221_11시_APSCMCD415_정기_GMV_핑계고 무신사 드롭_전체_콘텐츠,핑계고 무신사 드롭,"(광고) 계원님들 제3회 핑계고 시상식을 시작합니다
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1450678900761654381,,https://www.musinsa.com/content/1450678900761654381?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD415&source=APSCMCD415,https://www.musinsa.com/content/1450678900761654381?source=FEDCMCD415,(광고) 계원님들 제3회 핑계고 시상식을 시작합니다\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-21,11:00,전체,2,APSCMCD416,콘텐츠,,,timberland,,251221_11시_APSCMCD416_정기_GMV_팀버랜드ⅩSTA 6인치 부츠 발매_전체_콘텐츠,팀버랜드ⅩSTA 6인치 부츠 발매,"(광고) 팀버랜드의 새 협업, 무신사 단독으로 만나다
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1450645083137078599,https://image.msscdn.net/cms/v2/content/file_1765931321939_196487000_cy4afo.jpg,https://www.musinsa.com/content/1450645083137078599?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD416&source=APSCMCD416,https://www.musinsa.com/content/1450645083137078599?source=FEDCMCD416,"(광고) 팀버랜드의 새 협업, 무신사 단독으로 만나다\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-22,11:00,전체,1,APSCMCD417,이벤트,,,"chanel,moncler,dyson,musinsa",,251222_11시_APSCMCD417_정기_GMV_마지막 투썸 스초생 0원의 기회 🍓_전체_이벤트,마지막 투썸 스초생 0원의 기회 🍓,"(광고) 오늘이 마지막 무퀴즈 × 투썸플레이스
인기 케이크와 아메리카노 교환권 찬스
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/onboarding/event/quiz/latest,,https://www.musinsa.com/onboarding/event/quiz/latest?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD417&source=APSCMCD417,https://www.musinsa.com/onboarding/event/quiz/latest?source=FEDCMCD417,(광고) 오늘이 마지막 무퀴즈 × 투썸플레이스\n인기 케이크와 아메리카노 교환권 찬스\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-23,11:00,전체,1,APSCMCD418,콘텐츠,,,cavish,,251223_11시_APSCMCD418_정기_GMV_카비시 × 킥플립 동화_전체_콘텐츠,카비시 × 킥플립 동화,"(광고) 동화만의 시선으로 풀어낸 가장 자연스러운 순간, 무신사 에디션 발매
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1446047140925822910,https://image.msscdn.net/cms/v2/content/file_1765758136210_11437799_9h3ann.jpg,https://www.musinsa.com/content/1446047140925822910?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD418&source=APSCMCD418,https://www.musinsa.com/content/1446047140925822910?source=FEDCMCD418,"(광고) 동화만의 시선으로 풀어낸 가장 자연스러운 순간, 무신사 에디션 발매\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-24,11:00,전체,1,APSCMCD419,콘텐츠,,,urbandtype,,251224_11시_APSCMCD419_정기_GMV_어반디타입 브랜드위크_전체_콘텐츠,어반디타입 브랜드위크,"(광고) 최대 20% 쿠폰과 할인 혜택으로 만나보세요.
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1445980309934134782,https://image.msscdn.net/cms/v2/content/cms_b28104e1-9202-4.jpg,https://www.musinsa.com/content/1445980309934134782?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD419&source=APSCMCD419,https://www.musinsa.com/content/1445980309934134782?source=FEDCMCD419,(광고) 최대 20% 쿠폰과 할인 혜택으로 만나보세요.\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-24,11:00,전체,2,APSCMCD420,캠페인,,,,"뷰티1,뷰티2",251224_11시_APSCMCD420_정기_GMV_[오늘 종료] 뷰티 어워즈 최대 30% 쿠폰_전체_캠페인,[오늘 종료] 뷰티 어워즈 최대 30% 쿠폰,"(광고) 어워즈 1등 상품 최대 80% 할인 + 장바구니 중복 혜택까지
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/25beautyawards/0#c_cart,https://image.msscdn.net/campaign_service/images/cpcms/2025/a60095aa06574d8d9c185fa7cbc29b94.jpg,https://www.musinsa.com/campaign/25beautyawards/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD420&source=APSCMCD420#c_cart,https://www.musinsa.com/campaign/25beautyawards/0?source=FEDCMCD420#c_cart,(광고) 어워즈 1등 상품 최대 80% 할인 + 장바구니 중복 혜택까지\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
